alpha-3|country|region|sub-region|id_country
FLK|Falkland Islands (Malvinas)|Americas|Latin America and the Caribbean|227
FRO|Faroe Islands|Europe|Northern Europe|228
GUF|French Guiana|Americas|Latin America and the Caribbean|229
PYF|French Polynesia|Oceania|Polynesia|230
ATF|French Southern Territories|Africa|Sub-Saharan Africa|231
GMB|Gambia|Africa|Sub-Saharan Africa|232
GIB|Gibraltar|Europe|Southern Europe|233
GRL|Greenland|Americas|Northern America|234
GLP|Guadeloupe|Americas|Latin America and the Caribbean|235
GUM|Guam|Oceania|Micronesia|236
GGY|Guernsey|Europe|Northern Europe|237
GNB|Guinea Bissau|Africa|Sub-Saharan Africa|238
HMD|Heard Island and McDonald Islands|Oceania|Australia and New Zealand|239
VAT|Holy See|Europe|Southern Europe|240
HKG|Hong Kong|Asia|Eastern Asia|241
IMN|Isle of Man|Europe|Northern Europe|242
JEY|Jersey|Europe|Northern Europe|243
KOR|Korea, Republic of|Asia|Eastern Asia|244
MAC|Macao|Asia|Eastern Asia|245
MTQ|Martinique|Americas|Latin America and the Caribbean|246
MYT|Mayotte|Africa|Sub-Saharan Africa|247
FSM|Micronesia (Federated States of)|Oceania|Micronesia|248
MSR|Montserrat|Americas|Latin America and the Caribbean|249
NCL|New Caledonia|Oceania|Melanesia|250
NFK|Norfolk Island|Oceania|Australia and New Zealand|251
MNP|Northern Mariana Islands|Oceania|Micronesia|252
PSE|Palestine, State of|Asia|Western Asia|253
PCN|Pitcairn|Oceania|Polynesia|254
PRI|Puerto Rico|Americas|Latin America and the Caribbean|255
REU|Réunion|Africa|Sub-Saharan Africa|256
BLM|Saint Barthélemy|Americas|Latin America and the Caribbean|257
SHN|Saint Helena, Ascension and Tristan da Cunha|Africa|Sub-Saharan Africa|258
MAF|Saint Martin (French part)|Americas|Latin America and the Caribbean|259
SPM|Saint Pierre and Miquelon|Americas|Northern America|260
VCT|Saint Vincent and the Grenadines|Americas|Latin America and the Caribbean|261
SXM|Sint Maarten (Dutch part)|Americas|Latin America and the Caribbean|262
SGS|South Georgia and the South Sandwich Islands|Americas|Latin America and the Caribbean|263
SJM|Svalbard and Jan Mayen|Europe|Northern Europe|264
TWN|Taiwan|Asia|Eastern Asia|265
TLS|Timor-Leste|Asia|South-eastern Asia|266
TKL|Tokelau|Oceania|Polynesia|267
TCA|Turks and Caicos Islands|Americas|Latin America and the Caribbean|268
UMI|United States Minor Outlying Islands|Oceania|Micronesia|269
VGB|Virgin Islands (British)|Americas|Latin America and the Caribbean|270
VIR|Virgin Islands (U.S.)|Americas|Latin America and the Caribbean|271
WLF|Wallis and Futuna|Oceania|Polynesia|272
ESH|Western Sahara|Africa|Northern Africa|273
